2000000(6,57)(134,150)(15,301)(5,296)
650000(134,150)(186,187)(68,338)(15,301)
720000(186,187)(243,277)(123,377)(68,338)
567000(243,277)(294,261)(175,414)(123,377)
427000(294,261)(345,295)(228,449)(175,414)
451000(345,295)(401,336)(285,489)(228,449)
603000(401,336)(453,372)(336,524)(285,489)
1600000(213,8)(300,6)(188,150)(138,113)
413000(250,72)(291,99)(234,180)(188,150)
461000(306,82)(356,116)(286,216)(234,189)
353000(351,124)(403,159)(335,251)(286,216)
549000(403,159)(452,193)(387,286)(335,251)
418000(367,134)(555,145)(438,322)(387,286)
439000(555,145)(589,145)(581,281)(555,262)(488,357)(438,322)
410000(555,262)(581,281)(547,399)(488,357)
11000(300,6)(402,8)(314,85)(306,82)(291,99)
522000(402,8)(425,8)(425,114)(344,107)(314,85)
596000(425,8)(488,8)(485,118)(425,114)
481000(488,8)(540,8)(539,119)(485,118)
479000(540,8)(600,10)(594,120)(539,119)
